[17:34:995] [FINE  ] 1 - Try placing BLACK at: 4,8 
[17:34:996] [FINE  ] WHITE's scenario: -30 
[17:34:996] [FINE  ] 1 - score: -30 
[17:34:996] [FINE  ] 1 - Try placing BLACK at: 6,8 
[17:34:997] [FINE  ] WHITE's scenario: -30 
[17:34:997] [FINE  ] 1 - score: -30 
[17:34:998] [FINE  ] 1 - Try placing BLACK at: 5,4 
[17:34:999] [FINE  ] WHITE's scenario: 60 
[17:34:999] [FINE  ] 1 - score: 60 
[17:34:999] [FINE  ] 1 - Try placing BLACK at: 3,8 
[17:35:000] [FINE  ] WHITE's scenario: -60 
[17:35:001] [FINE  ] 1 - score: -60 
[17:35:001] [FINE  ] 1 - Try placing BLACK at: 4,5 
[17:35:002] [FINE  ] WHITE's scenario: -60 
[17:35:002] [FINE  ] 1 - score: -60 
[17:35:002] [FINE  ] 1 - Try placing BLACK at: 4,6 
[17:35:003] [FINE  ] WHITE's scenario: -60 
[17:35:004] [FINE  ] 1 - score: -60 
[17:35:004] [FINE  ] 1 - Try placing BLACK at: 6,5 
[17:35:005] [FINE  ] WHITE's scenario: -60 
[17:35:005] [FINE  ] 1 - score: -60 
[17:35:005] [FINE  ] 1 - Try placing BLACK at: 6,6 
[17:35:006] [FINE  ] WHITE's scenario: -60 
[17:35:007] [FINE  ] 1 - score: -60 
[17:35:007] [FINE  ] 1 - Try placing BLACK at: 7,8 
[17:35:008] [FINE  ] WHITE's scenario: -60 
[17:35:009] [FINE  ] 1 - score: -60 
[17:35:009] [FINE  ] 1 - Try placing BLACK at: 3,7 
[17:35:010] [FINE  ] WHITE's scenario: -90 
[17:35:010] [FINE  ] 1 - score: -90 
[17:35:010] [FINE  ] 1 - Try placing BLACK at: 4,4 
[17:35:011] [FINE  ] WHITE's scenario: -90 
[17:35:012] [FINE  ] 1 - score: -90 
[17:35:012] [FINE  ] 1 - Try placing BLACK at: 5,9 
[17:35:013] [FINE  ] WHITE's scenario: -90 
[17:35:013] [FINE  ] 1 - score: -90 
[17:35:013] [FINE  ] 1 - Try placing BLACK at: 6,4 
[17:35:014] [FINE  ] WHITE's scenario: -90 
[17:35:015] [FINE  ] 1 - score: -90 
[17:35:015] [FINE  ] 1 - Try placing BLACK at: 7,7 
[17:35:016] [FINE  ] WHITE's scenario: -90 
[17:35:016] [FINE  ] 1 - score: -90 
[17:35:016] [FINE  ] BLACK best move409 and depth is 1 best score is 110(Branch factor:18; Scenarios Evaluated:18) 
[17:35:017] [FINE  ] 2 - score: 110 
[17:35:017] [FINE  ] 2 - Try placing WHITE at: 4,8 
[17:35:019] [FINE  ] 1 - Try placing BLACK at: 6,9 
[17:35:020] [FINE  ] WHITE's scenario: 190 
[17:35:020] [FINE  ] 1 - score: 190 
[17:35:021] [FINE  ] BLACK best move609 and depth is 1 best score is 190(Branch factor:1; Scenarios Evaluated:1) 
[17:35:021] [FINE  ] 2 - score: 190 
[17:35:021] [FINE  ] 2 - Try placing WHITE at: 6,8 
[17:35:022] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:35:024] [FINE  ] WHITE's scenario: 190 
[17:35:024] [FINE  ] 1 - score: 190 
[17:35:026] [FINE  ] BLACK best move409 and depth is 1 best score is 190(Branch factor:1; Scenarios Evaluated:1) 
[17:35:026] [FINE  ] 2 - score: 190 
[17:35:027] [FINE  ] 2 - Try placing WHITE at: 3,7 
[17:35:029] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:35:030] [FINE  ] WHITE's scenario: 260 
[17:35:030] [FINE  ] 1 - score: 260 
[17:35:030] [FINE  ] BLACK best move409 and depth is 1 best score is 260(Branch factor:1; Scenarios Evaluated:1) 
[17:35:031] [FINE  ] 2 - score: 260 
[17:35:031] [FINE  ] 2 - Try placing WHITE at: 3,8 
[17:35:033] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:35:034] [FINE  ] WHITE's scenario: 260 
[17:35:034] [FINE  ] 1 - score: 260 
[17:35:034] [FINE  ] BLACK best move409 and depth is 1 best score is 260(Branch factor:1; Scenarios Evaluated:1) 
[17:35:035] [FINE  ] 2 - score: 260 
[17:35:035] [FINE  ] 2 - Try placing WHITE at: 4,5 
[17:35:037] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:35:038] [FINE  ] WHITE's scenario: 260 
[17:35:039] [FINE  ] 1 - score: 260 
[17:35:039] [FINE  ] BLACK best move409 and depth is 1 best score is 260(Branch factor:1; Scenarios Evaluated:1) 
[17:35:039] [FINE  ] 2 - score: 260 
[17:35:039] [FINE  ] 2 - Try placing WHITE at: 5,9 
[17:35:041] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:35:042] [FINE  ] WHITE's scenario: 260 
[17:35:043] [FINE  ] 1 - score: 260 
[17:35:043] [FINE  ] BLACK best move409 and depth is 1 best score is 260(Branch factor:1; Scenarios Evaluated:1) 
[17:35:043] [FINE  ] 2 - score: 260 
[17:35:043] [FINE  ] 2 - Try placing WHITE at: 6,5 
[17:35:045] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:35:046] [FINE  ] WHITE's scenario: 260 
[17:35:046] [FINE  ] 1 - score: 260 
[17:35:047] [FINE  ] BLACK best move409 and depth is 1 best score is 260(Branch factor:1; Scenarios Evaluated:1) 
[17:35:047] [FINE  ] 2 - score: 260 
[17:35:047] [FINE  ] 2 - Try placing WHITE at: 7,7 
[17:35:049] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:35:050] [FINE  ] WHITE's scenario: 260 
[17:35:050] [FINE  ] 1 - score: 260 
[17:35:051] [FINE  ] BLACK best move409 and depth is 1 best score is 260(Branch factor:1; Scenarios Evaluated:1) 
[17:35:051] [FINE  ] 2 - score: 260 
[17:35:051] [FINE  ] 2 - Try placing WHITE at: 7,8 
[17:35:053] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:35:055] [FINE  ] WHITE's scenario: 260 
[17:35:055] [FINE  ] 1 - score: 260 
[17:35:055] [FINE  ] BLACK best move409 and depth is 1 best score is 260(Branch factor:1; Scenarios Evaluated:1) 
[17:35:055] [FINE  ] 2 - score: 260 
[17:35:056] [FINE  ] WHITE best move505 and depth is 2 best score is 110(Branch factor:16; Scenarios Evaluated:51) 
[17:41:651] [FINE  ] 2 - Try placing WHITE at: 4,9 
[17:41:654] [FINE  ] 1 - Try placing BLACK at: 8,5 
[17:41:658] [FINE  ] WHITE's scenario: 280 
[17:41:658] [FINE  ] 1 - score: 280 
[17:41:659] [FINE  ] 1 - Try placing BLACK at: 6,9 
[17:41:661] [FINE  ] WHITE's scenario: 130 
[17:41:661] [FINE  ] 1 - score: 130 
[17:41:662] [FINE  ] 1 - Try placing BLACK at: 3,6 
[17:41:666] [FINE  ] WHITE's scenario: 100 
[17:41:666] [FINE  ] 1 - score: 100 
[17:41:666] [FINE  ] 1 - Try placing BLACK at: 5,4 
[17:41:668] [FINE  ] WHITE's scenario: 110 
[17:41:668] [FINE  ] 1 - score: 110 
[17:41:668] [FINE  ] 1 - Try placing BLACK at: 6,5 
